file,baseline_loc,disposition,target_loc,cone
charly/layers.go,509,THIN,191,R1
charly/unified.go,340,DELETE,0,R1
charly/node_parsed.go,133,THIN,100,R1
charly/refs.go,84,DELETE,0,R1
charly/config.go,78,DELETE,0,R1
charly/node_desugar.go,63,STAY,,R1
charly/format_config.go,58,DELETE,0,R1
charly/main_repo.go,36,DELETE,0,R1
charly/host_build_deploy_plugins_connect.go,36,STAY,,R1
charly/refs_threaded.go,28,DELETE,0,R1
charly/cue_defaults.go,25,DELETE,0,R1
charly/cue_node.go,17,DELETE,0,R1
charly/validate_project_host.go,325,THIN,90,R1
charly/generate.go,288,DELETE,0,R1
charly/host_build_buildengine.go,270,THIN,100,R1
charly/cue_schema.go,130,THIN,54,R1
charly/bundle_add_cmd.go,214,THIN,75,R2
charly/host_build_config_resolve.go,168,DELETE,0,R2
charly/host_build_resolve_target_add.go,126,THIN,65,R2
charly/service_render.go,119,DELETE,0,R2
charly/bundle_from_box_cmd.go,89,DELETE,0,R2
charly/pod_lifecycle_verb.go,60,STAY,,R2
charly/host_build_deploy_node_del_dispatch.go,56,THIN,35,R2
charly/host_build_deploy_del_resolve.go,46,DELETE,0,R2
charly/host_build_arbiter_bracket.go,45,DELETE,0,R2
charly/host_build_deploy_from_box.go,34,DELETE,0,R2
charly/host_build_pod_config.go,107,DELETE,0,R3
charly/host_build_pod_config_seams.go,79,DELETE,0,R3
charly/gpu_shim.go,80,THIN,30,R3
charly/devices.go,56,DELETE,0,R3
charly/sidecar.go,43,DELETE,0,R3
charly/check_cmd.go,136,THIN,110,R4
charly/checkspec.go,107,THIN,55,R4
charly/host_build_check_run.go,77,DELETE,0,R4
charly/deploy_target_unified.go,222,DELETE,0,R5
charly/deploy_target_dispatch.go,46,STAY,,R5
charly/unified_targets.go,541,STAY,,R5
charly/commands.go,101,THIN,45,R6
charly/host_build_feature.go,77,DELETE,0,R6
charly/host_build_retention_defaults.go,40,DELETE,0,R6
charly/preempt.go,319,DELETE,0,CONTESTED
charly/credential_plugin.go,213,THIN,109,CONTESTED
charly/update_deploy_dispatch.go,178,THIN,104,CONTESTED
charly/host_build_cli.go,90,STAY,,CONTESTED
charly/readiness_config.go,75,STAY,,CONTESTED
charly/vm_lifecycle_preresolve.go,46,DELETE,0,CONTESTED
charly/validate.go,181,DELETE,0,R1
charly/cue_kind_android_reg.go,7,DELETE,0,R1
charly/cue_kind_box.go,9,DELETE,0,R1
charly/cue_kind_candy.go,11,DELETE,0,R1
charly/cue_kind_check.go,3,DELETE,0,R1
charly/cue_kind_deploy.go,3,DELETE,0,R1
charly/cue_kind_k8s.go,3,DELETE,0,R1
charly/cue_kind_local.go,3,DELETE,0,R1
charly/cue_kind_pod.go,3,DELETE,0,R1
charly/cue_kind_vm.go,3,DELETE,0,R1
